
3247, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3321, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3391, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3363, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3481, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3331, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3435, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3693, 0 / 124, 0 / 124, 0 / 124, 0 / 124, 0 / 124, 0 / 124, 0 / 124, 0 / 124
3142, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 3 / 3, 0 / 3, 0 / 3
3185, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3806, 0 / 45, 0 / 45, 0 / 45, 0 / 45, 0 / 45, 0 / 45, 0 / 45, 0 / 45
3116, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3345, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3403, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3555, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3541, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2
3355, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3447, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3177, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3961, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22, 0 / 22
3154, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3197, 0 / 3, 2 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3986, 0 / 20, 0 / 20, 0 / 20, 5 / 20, 0 / 20, 0 / 20, 0 / 20, 0 / 20
3101, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3
3369, 1 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3415, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3747, 0 / 60, 0 / 60, 0 / 60, 0 / 60, 14 / 60, 36 / 60, 0 / 60, 44 / 60
3601, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3061, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4
3459, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3225, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
