3876, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34
3107, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3
3784, 0 / 50, 0 / 50, 7 / 50, 8 / 50, 0 / 50, 8 / 50, 0 / 50, 0 / 50
3621, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 1 / 2, 1 / 2
3070, 1 / 3, 1 / 3, 2 / 3, 0 / 3, 0 / 3, 2 / 3, 1 / 3, 0 / 3
3113, 2 / 3, 2 / 3, 2 / 3, 3 / 3, 2 / 3, 2 / 3, 2 / 3, 3 / 3
3665, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3629, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3882, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 0 / 32, 1 / 32
3075, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3
3338, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 2 / 2, 1 / 2, 0 / 2
3859, 7 / 36, 0 / 36, 7 / 36, 0 / 36, 7 / 36, 0 / 36, 0 / 36, 0 / 36
3888, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31
3119, 0 / 3, 1 / 3, 2 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 2 / 3
3820, 39 / 42, 31 / 42, 42 / 42, 34 / 42, 31 / 42, 42 / 42, 41 / 42, 40 / 42
3633, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2
3082, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3
3125, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3
3833, 0 / 41, 12 / 41, 4 / 41, 15 / 41, 16 / 41, 0 / 41, 0 / 41, 0 / 41
3677, 0 / 2, 1 / 2, 2 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3894, 10 / 30, 11 / 30, 11 / 30, 25 / 30, 5 / 30, 25 / 30, 4 / 30, 25 / 30
3087, 1 / 3, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3
3518, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 1 / 2, 1 / 2, 2 / 2, 0 / 2
3907, 4 / 28, 6 / 28, 7 / 28, 1 / 28, 0 / 28, 2 / 28, 2 / 28, 2 / 28
3900, 2 / 29, 2 / 29, 2 / 29, 2 / 29, 29 / 29, 7 / 29, 2 / 29, 13 / 29
3131, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3
3856, 8 / 36, 10 / 36, 2 / 36, 3 / 36, 22 / 36, 0 / 36, 20 / 36, 22 / 36
3645, 1 / 4, 2 / 4, 3 / 4, 2 / 4, 2 / 4, 1 / 4, 2 / 4, 2 / 4
3094, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 1 / 3
3137, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3086, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
