3888, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31
3119, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3
3820, 0 / 42, 28 / 42, 42 / 42, 0 / 42, 31 / 42, 35 / 42, 41 / 42, 31 / 42
3633, 0 / 2, 1 / 2, 1 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3082, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3
3125, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3833, 0 / 41, 8 / 41, 4 / 41, 6 / 41, 16 / 41, 0 / 41, 0 / 41, 0 / 41
3677, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3894, 10 / 30, 11 / 30, 11 / 30, 0 / 30, 0 / 30, 25 / 30, 0 / 30, 25 / 30
3087, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3518, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 1 / 2, 1 / 2, 0 / 2
3907, 0 / 28, 6 / 28, 6 / 28, 1 / 28, 0 / 28, 0 / 28, 2 / 28, 2 / 28
3900, 0 / 29, 0 / 29, 2 / 29, 0 / 29, 12 / 29, 7 / 29, 2 / 29, 13 / 29
3131, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3856, 8 / 36, 0 / 36, 2 / 36, 3 / 36, 12 / 36, 0 / 36, 20 / 36, 18 / 36
3645, 0 / 4, 2 / 4, 1 / 4, 2 / 4, 2 / 4, 1 / 4, 2 / 4, 2 / 4
3094, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3
3137, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3086, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3981, 11 / 21, 0 / 21, 0 / 21, 11 / 21, 13 / 21, 11 / 21, 0 / 21, 0 / 21
3906, 0 / 28, 0 / 28, 2 / 28, 0 / 28, 0 / 28, 0 / 28, 3 / 28, 0 / 28
3099, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 2 / 3
3698, 0 / 113, 2 / 113, 23 / 113, 0 / 113, 0 / 113
3955, 6 / 23, 0 / 23, 1 / 23, 3 / 23, 0 / 23, 3 / 23, 9 / 23, 9 / 23
3912, 0 / 27, 7 / 27, 0 / 27, 0 / 27, 0 / 27, 0 / 27, 0 / 27, 0 / 27
3143, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3
3892, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30
3657, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2
3106, 1 / 3, 1 / 3, 0 / 3, 2 / 3, 3 / 3, 0 / 3, 1 / 3, 1 / 3
3149, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3266, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3127, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3
3273, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3
3367, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3878, 0 / 33, 2 / 33, 0 / 33, 0 / 33, 1 / 33, 2 / 33, 1 / 33, 0 / 33
3105, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3
3283, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3411, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3928, 1 / 26, 2 / 26, 6 / 26, 1 / 26, 1 / 26, 1 / 26, 6 / 26, 5 / 26
3669, 1 / 2, 2 / 2, 0 / 2, 0 / 2, 1 / 2, 1 / 2, 0 / 2, 0 / 2
3118, 0 / 3, 0 / 3, 0 / 3, 3 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3161, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3446, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3187, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 2 / 3, 1 / 3, 1 / 3, 1 / 3
