
3158, 0 / 3, 0 / 3
3811, 25 / 49, 16 / 49, 19 / 49, 25 / 49, 0 / 49, 21 / 49, 1 / 49, 13 / 49
3876, 1 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34
3107, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3, 2 / 3, 1 / 3, 0 / 3
3784, 0 / 50, 0 / 50, 8 / 50, 8 / 50, 0 / 50, 9 / 50, 0 / 50, 0 / 50
3621, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 1 / 2, 1 / 2
3070, 2 / 3, 2 / 3, 2 / 3, 0 / 3, 0 / 3, 2 / 3, 1 / 3, 0 / 3
3113, 2 / 3, 2 / 3, 2 / 3, 3 / 3, 2 / 3, 2 / 3, 3 / 3, 3 / 3
3665, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3629, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3882, 0 / 32, 0 / 32, 0 / 32, 1 / 32, 0 / 32, 1 / 32, 0 / 32, 1 / 32
3075, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 2 / 3, 1 / 3, 1 / 3, 2 / 3
3338, 0 / 2, 2 / 2, 0 / 2, 0 / 2, 1 / 2, 2 / 2, 1 / 2, 0 / 2
3859, 7 / 36, 0 / 36, 0 / 36, 7 / 36, 7 / 36, 7 / 36, 0 / 36
3888, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31
3119, 1 / 3, 1 / 3, 2 / 3, 2 / 3, 1 / 3, 0 / 3, 0 / 3, 1 / 3
3820, 39 / 42, 31 / 42, 42 / 42, 42 / 42, 33 / 42, 42 / 42, 41 / 42, 42 / 42
3633, 1 / 2, 1 / 2, 1 / 2, 1 / 2, 0 / 2, 1 / 2, 1 / 2, 0 / 2
3082, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3125, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3
3833, 0 / 41, 15 / 41, 4 / 41, 17 / 41, 18 / 41, 0 / 41, 0 / 41, 0 / 41
3677, 0 / 2, 2 / 2, 2 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2
3894, 14 / 30, 19 / 30, 25 / 30, 25 / 30, 25 / 30, 25 / 30, 20 / 30, 25 / 30
3087, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 0 / 3
3518, 1 / 2, 1 / 2, 0 / 2, 1 / 2, 1 / 2, 1 / 2, 2 / 2, 0 / 2
3907, 2 / 28, 6 / 28, 8 / 28, 1 / 28, 0 / 28, 2 / 28, 6 / 28, 1 / 28
3900, 5 / 29, 2 / 29, 2 / 29, 0 / 29, 29 / 29, 5 / 29, 13 / 29, 29 / 29
3131
